eres,linewidth,imax,width,length
2.002730671,0.145223949,1.63E-15,30,68
1.441887277,0.084309797,3.23E-15,18.3515,89.5567
2.047248416,0.174680206,5.74E-15,43.5,87
2.012249667,0.167613394,7.54E-15,43,91
1.727450697,0.08418997,6.81E-15,25.0198,84.587
1.463420251,0.081865352,2.54E-15,17.7356,83.6017
1.564843152,0.086125481,6.29E-15,22.1692,92.5067
2.073037077,0.183282238,5.11E-15,44.5,85.9
1.893986735,0.224871147,3.61E-14,62,133
1.562938722,0.07984965,3.38E-15,19.6868,81.1002
1.845367011,0.08736278,5.34E-15,27,78
1.570020094,0.07776195,2.60E-15,18.1838,77.0405
1.577497674,0.083328669,5.17E-15,21.5011,87.5111
1.977189199,0.149833605,7.82E-15,40,90
1.635768845,0.078427329,3.80E-15,20.3547,79.027
1.682073364,0.079169853,4.52E-15,21.7744,79.3268
1.691285614,0.078620097,4.38E-15,21.7744,78.3268
2.066993918,0.168030091,6.37E-16,29,59.6
1.817749833,0.2452754,4.66E-14,64,147.5
2.054424093,0.147515001,8.36E-16,29.1,61.06
1.747206157,0.361199368,6.54E-14,79.5,176.9
1.608750422,0.081720259,4.89E-15,21.4567,84.622
1.40199191,0.085773298,3.18E-15,18.0389,92.4605
2.01488453,0.1448069,1.10E-15,28,63.5
